ri,partido,marca,convenio,disponibilidad,ubicación
E-10 (Con motor a Reemplazar por deterioro),Departamento de Logística,MARCA EMA 1.800.000 LTS/HR,FUERA DE SERVICIO,NO,Departamento de Logistica
P-011,Departamento de Logística,MARCA PIVAS 2.000.000 LTS/HR,FUERA DE SERVICIO,NO,
P-035,Departamento de Logística,MARCA PIVAS 2.000.000 LTS/HR,FUERA DE SERVICIO,NO,
P-037,Departamento de Logística,MARCA PIVAS 2.000.000 LTS/HR,FUERA DE SERVICIO,NO,Departamento de Logistica
P-068-L/16,Guaminí,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Corralon Municipal de Guamini
P-056-L/16,Hipólito Yrigoyen,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,
P-076-BID 3256/16,Junín,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Barrio San Ignacio (Junín)
P-082-BID 3256/16,Junín,MARCA PIVAS 1.500.000 LTS/HR,NO,SI,RN188 y Calle Ricardo Rojas (Junín)
E-14-0391/25,Junín,MARCA EMA 3.200.000 LTS/HR,NO,SI,Laplacette
E-14-0393/25,Junín,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Vial de la Municipalidad de Junín
PHL-046,Las Flores,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,Municipalidad de Las Flores
P-016,Lincoln,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Terreno al lado del Corralon Municipal de Lincoln (Av. Salta y Calle Liborio Tiseyra)
E-18/25,Lincoln,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de Lincoln
P-015 (c/motor MP-004),Departamento de Logística,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Departamento de Logistica
P-061-L/16,Departamento de Logística,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,
P-062-L/16,Departamento de Logística,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,
PHL-037,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-038,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-040,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-041,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-042,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-043,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-047,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-051,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-055,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
PHL-056,Departamento de Logística,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
E-13/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-15/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-16/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0379/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0380/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0381/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0382/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0388/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
E-14-0389/25,Departamento de Logística,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento de Logistica
PHL-052,Navarro,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,
E-11/25,Pehuajó,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de Pehuajo
E-14-0392/25,Pehuajó,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de Pehuajo
E-08,Magdalena,MARCA EMA 1.500.000 LTS/HR,FUERA DE SERVICIO,NO,Corralon Municipal
E-3255/19,Magdalena,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal
P-071-L/16,Magdalena,MARCA PIVAS 3.000.000 LTS/HR,SI,SI,Corralon Municipal
P-013,Pehuajó,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Pehuajo
P-028,Pehuajó,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Pehuajo
P-039,Pehuajó,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Pehuajo
E-3243/19,Pehuajó,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Municipal de Pehuajo
E-3246/19,Pehuajó,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Municipal de Pehuajo
P-084-BID 3256/16,Pehuajó,MARCA PIVAS PRÉSTAMO BID/3256/20,NO,SI,
P-085-BID 3256/16,Pehuajó,MARCA PIVAS PRÉSTAMO BID/3256/21,NO,SI,
E-3240/19,Pellegrini,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Municipal de Pellegrini
P-066-L/16,Pellegrini,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Planta de Residuos de Pellegrini
P-003,Pergamino,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Secretaria de Servicios Publicos de Pergamino
P-057-L/16,Pergamino,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Departamento Zona I Pergamino DPH
P-058-L/16,Pergamino,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Departamento Zona I Pergamino DPH
P-083-BID 3256/16,Pergamino,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Departamento Zona I (Pergamino) DPH
P-069-L/16,Coronel Pringles,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,
E-3241/19,Pilar,MARCA EMA 3.200.000 LTS/HR,SI,SI,
E-3247/19,Pilar,MARCA EMA 3.200.000 LTS/HR,SI,SI,
P-012,Puán,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
E-3244/19,Rivadavia,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Municipal de America
E-12/25,Roque Pérez,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de Roque Pérez
P-004 (c/motor),Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,NO,NO,
P-014 (c/motor),Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Roque Pérez
P-021,Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Roque Pérez
P-022,Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Roque Pérez
P-026,Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,NO,NO,
P-038,Roque Pérez,MARCA PIVAS 2.000.000 LTS/HR,FUERA DE SERVICIO,NO,Corralon Municipal de Roque Pérez
P-081-BID 3256/16,Roque Pérez,MARCA PIVAS 3.000.000 LTS/HR,FUERA DE SERVICIO,NO,Corralon Municipal de Roque Pérez
P-087-BID 3256/16,San Pedro,MARCA PIVAS 1.500.000 LTS/HR,NO,SI,CORRALON MUNICIPAL DE SAN PEDRO
P-089-BID 3256/16,San Pedro,MARCA PIVAS 1.500.000 LTS/HR,NO,SI,CORRALON MUNICIPAL DE SAN PEDRO
E-3249/19,Trenque Lauquen,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Trenque Lauquen
P-065-L/16,Trenque Lauquen,MARCA PIVAS 3.000.000 LTS/HR,SI,SI,30 de Agosto Jurisdiccion de Trenque Lauquen
E-3257/19,Trenque Lauquen,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Trenque Lauquen
P-033,Tres Lomas,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-002,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
E-004,Ubicacion Desconocida,MARCA EMA 1.500.000 LTS/HR,NO,SI,
E-006,Ubicacion Desconocida,MARCA EMA 1.500.000 LTS/HR,NO,SI,
E-07,Ubicacion Desconocida,MARCA EMA 1.500.000 LTS/HR,NO,SI,
P-008,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-017,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-025,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-031,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-032,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-040,Ubicacion Desconocida,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
P-064-L/16,Ubicacion Desconocida,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,
P-010,Adolfo Alsina,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Calle Peru
E-3252/19,Adolfo Alsina,MARCA EMA 3.200.000 LTS/HR,NO,SI,Calle 20 de Junio
E-3253/19,Adolfo Alsina,MARCA EMA 3.200.000 LTS/HR,NO,SI,Calle Rivadavia Norte
