tipo,marca,dominio,afectación,detalle,estado,observación,zona,partido,ubicación,coordenadas,link,informe
Retroexcavadora con brazo corto,Komatsu PC200LC-8,RIK388,Convenio,Obra: Tareas de emergencia en la ciudad de Bolivar,Operativo,,Zona 4,Bolívar,Canal Artola,"36°03'01.2""S 61°09'38.3""W",https://maps.app.goo.gl/rwBT8f2gKnbavSxb8,06/06/25 - Se paró la maquina. Se le colocaron los dientes del balde nuevos y se le soldadoron dos pernos del retro y del pei de pluma.
Retropala,Case 570T,EBZ-64,Sin afectación,,Operativo,,Zona 4,Departamento de Logistica,Departamento de Logistica,"34°52'42.0""S 57°56'21.6""W",https://maps.app.goo.gl/4ok5tcs5D5WjPzv67,30/08/22 - Se encuentra operativa pero se arranca haciendo puente con otro equipo debido a que debería cambiarse la bateria.
Retropala,Tortone TO160SB,1111,Sin afectación,Realiza trabajos en el Distrito,No Operativo,,Zona 4,Las Flores,Distrito Zona IV - sede las Flores,"36°00'54.4""S 59°06'25.5""W",https://maps.app.goo.gl/e4EMZor3mVUcgS8S8,El equipo se encuentra operativo con limitaciones.
Retropala,John Deere,JD403,Sin afectación,,Operativo,,Zona 1,Colón,Secretaría de Obras Públicas,"33°53'53.5""S 61°06'49.5""W",https://maps.app.goo.gl/UdCD9moAahJ9NWj97,
Retropala,Komatsu,s/patentar,Sin afectación,,No Operativo,,Zona 1,Departamento de Logistica,Departamento de Logistica Ensenada,"34°52'42.0""S 57°56'21.6""W",https://maps.app.goo.gl/4ok5tcs5D5WjPzv67,
Retropala,Lovol,EBV 87,Sin afectación,,Operativo,,Zona 1,Salto,Secretaría de Infraestructura - Viviendas y Servicios Públicos,"34°17'59.5""S 60°14'27.7""W",https://maps.app.goo.gl/d1Aj455YpTJWTKVd7,
Pala cargadora frontal,John Deere,DEW 29,Convenio,Prestación de equipos: Trabajos Complementarios de las Obras de Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes,Operativo,,Zona 1,Exaltación de la Cruz,Arroyo de la Cruz,"34°17'53.7""S 59°06'17.1""W",https://maps.app.goo.gl/gekgptX9UouhCgm59,
Retropala,Lovol,EBL 39,Convenio,Obra: Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes,Operativo,,Zona 1,Exaltación de la Cruz,Arroyo de la Cruz,"34°17'53.7""S 59°06'17.1""W",https://maps.app.goo.gl/gekgptX9UouhCgm59,
Retropala,Case,EBZ 65,Sin afectación,,Operativo,,Zona 1,Pergamino,Distrito Zona I - sede Pergamino,"33°54'10.0""S 60°34'25.2""W",https://maps.app.goo.gl/oqAyPawte19wSTnp6,
Retropala,Kamo,s/patentar,Sin afectación,,No Operativo,,Zona 1,Pergamino,Distrito Zona I - sede Pergamino,"33°54'10.0""S 60°34'25.2""W",https://maps.app.goo.gl/oqAyPawte19wSTnp6,
Retropala,Poclain,s/patentar,Sin afectación,,No Operativo,,Zona 1,Pergamino,Distrito Zona I - sede Pergamino,"33°54'10.0""S 60°34'25.2""W",https://maps.app.goo.gl/oqAyPawte19wSTnp6,Baja par municipalidad de Colón. En proceso de entrega.
Retroexcavadora con brazo corto,Komatsu/ PC200-8LC,CK-387,Convenio,Obra: Obras de emergencia debido a inundación en la planta urbana de la localidad de Balcarce – Etapa II,Operativo,,Zona 5,Balcarce,Planta Urbana,"37°50'08.2""S 58°13'48.5""W",https://maps.app.goo.gl/RjydndRJ72d5vjhv6,13/2/25 - Ricardo fue a ver el equipo.hs maquina:; 4333.Equipista: Calderon EzequielUbicación: Balcarce-Se realizó cambio de aceite de motor térmico 22litros.-Filtro de aceite-Filtro de aire-Dos (2) filtros de combustible primario y auxiliar.-Se cambio una manguera de alimentación del motor térmico al filtro de aceite por perdida. La reparación de la manguera fue a cargo del municipio quedando el equipo en condiciones. Gabinetes/buches: se encuentran con residuos y tierra asentada con resto de hojas y cartones. Conexiones eléctricas dañadas por falta de limpieza de lo mismos.
Retroexcavadora con brazo corto,Lovol/ Fr220D,EBV- 84,Convenio,Prestación de equipos: Limpieza y reacondicionamiento del canal Tupungato,Operativo,,Zona 5,Necochea,Canal Tupungato,"38°36'01.7""S 58°53'17.9""W",https://maps.app.goo.gl/UoS8cakkwrZVYrrG7,28/08/25 - El municipio hizo el cambio de uñas del balde y colocó dos baterías nuevas y bornes nuevos
Topadora,Komatsu/ D65Ex-16,CZV-79,Convenio,Obra: Obras de emergencia debido a inundación en la planta urbana de la localidad de Balcarce – Etapa II - Incorporación de maquinaria de apoyo,Operativo,,Zona 5,Balcarce,Planta Urbana,"37°50'08.2""S 58°13'48.5""W",https://maps.app.goo.gl/RjydndRJ72d5vjhv6,4/6/25 - Se realizó servicio de mantenimiento. Cambio de filtros más combustible filtros de aire de motor. Filtro de aceite de motor. Aceite de motor termico. El municipio cambio correa de accesorios que se corto. Tren de rodaje en buenas condiciones. Espejo está para darle vuelta la cuchilla y como observación rajadura en la salida de escape.
Carretón,Comar/ A12-23 3 Ejes,AD854VD,Sin afectación,,Operativo,,Zona 5,Balcarce,Corralón municipal,"37°51'36.1""S 58°16'17.5""W",https://maps.app.goo.gl/FN1Aupj1dMz8JFLAA,
Retroexcavadora con brazo corto,John Deere,JD401,Convenio,Obra: Trabajos de Emergencia en el Partido de Carlos Casares - Etapa 2,Operativo,,Zona 7,Carlos Casares,En Obra,"35°35'41.4""S 61°21'36.9""W",https://maps.app.goo.gl/ZirnyRRmhBdzx3T98,5/11/25 - BUEN ESTADO EN RELACIÓN A HORAS DE SERVICIO. DAÑO CERRAJES DE CABINA Y MANIJA INTERIOR. CADENA DE TREN RODANTE CON BUJES PARTIDOS Y PERNOS A LA VISTA. BALDE CON JUEGO LATERAL. SE ESTÁ EVALUANDO POR PARTE DEL MUNICIPIO LA REPARACIÓN DE LA CADENA DEL TREN RODANTE. 
Dragalina,Baukema Novas,822,Sin afectación,,No Operativo,,Zona 7,Trenque Lauquen,Predio en Acceso a T.L. y Cicoria,"35°59'03.5""S 62°42'09.9""W",https://maps.app.goo.gl/Y3SE1WucMxwW9YU87,
Dragalina,Baukema Novas,804,Sin afectación,,No Operativo,,Zona 7,Carlos Casares,Predio en 9 de Julio y Río Negro,"35°37'13.9""S 61°20'42.2""W",https://maps.app.goo.gl/xewyB9hQ17wd9G1x8,
Pala cargadora frontal,John Deere 284 524 k,DEW-30,Sin afectación,,Operativo,,Zona 8,Dolores,Distrito Zona VIII - sede Dolores,"36°18'06.9""S 57°41'13.9""W",https://maps.app.goo.gl/H9dVJZnr6LRNKt4fA,-
