partido,zona,empresa,extracto,iframe
Daireaux,Zona 7,Marcalba S.A.,HORAS MÁQUINAS |   - 317 horas en ejecución desde 22/10/25 |   - 100 horas ejecutadas entre el 23/09/25 y el 06/11/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Corralon Municipal de Arboleda | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Bomberos Voluntarios de Arboleda,https://www.google.com/maps/d/embed?mid=1XQzqU0xX7pbz6p3pFjaibiBC_8EzC50&ehbc=2E312F&noprof=1
Dolores,Zona 8,Gerónimo Rizzo S.A.,CONVENIOS Y EQUIPOS |   - 1 equipo (Pala cargadora frontal) operativo sin afectación desde el 03 de octubre |   - 1 equipo (Retropala) operativo sin afectación desde el 03 de octubre | HORAS MÁQUINAS |   - 371 horas en ejecución desde 07/10/25 |   - 395 horas ejecutadas entre el 24/07/25 y el 16/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A. | BOMBAS | 2 bombas marca EMA 3.200.000 LTS/HR ubicado en Departamento Zona VIII Dolores | 2 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Corralon Municipal de Roque Perez (PRESTAMO A Departamento Zona VIII Dolores DPH),https://www.google.com/maps/d/embed?mid=1XeplOE-J4Wc4XFEdeui-_FXtsIMbnNo&ehbc=2E312F&noprof=1
Ensenada,Zona 2 (sur),Olivo Zamboano S.A.,,
Escobar,Zona 2 (norte),Gerónimo Rizzo S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 08 de octubre mediante Prestación de equipo: Limpieza y mejoramiento de los canales del Barrio San Miguel y Barrio San Lorenzo y del Arroyo Tajamar – Etapa VIII | HORAS MÁQUINAS |   - 312 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Gerónimo Rizzo S.A.,https://www.google.com/maps/d/embed?mid=1rJx7SbFdZuBseItFPT7tEmMH1CLG5oc&ehbc=2E312F&noprof=1
Esteban Echeverría,Zona 2 (centro),Marcalba S.A.,,
Exaltación de la Cruz,Zona 1,Olivo Zamboano S.A.,CONVENIOS Y EQUIPOS |   - 1 Pala cargadora frontal desde el 03 de noviembre mediante Prestación de equipos: Trabajos Complementarios de las Obras de Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes |   - 1 Retropala desde el 03 de noviembre mediante Obra: Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes | HORAS MÁQUINAS |   - 140 horas ejecutadas entre el 31/07/25 y el 25/08/25 |   A cargo de la empresa Olivo Zamboano S.A.,https://www.google.com/maps/d/embed?mid=1VoFvI_i2X4-VbuNGM7DAoM1FgaQQaCs&ehbc=2E312F&noprof=1
Ezeiza,Zona 2 (centro),Marcalba S.A.,,
Florencio Varela,Zona 2 (centro),Marcalba S.A.,,
Florentino Ameghino,Zona 7,Marcalba S.A.,HORAS MÁQUINAS |   - 318 horas en ejecución desde 22/10/25 |   - 221 horas ejecutadas entre el 05/08/25 y el 05/09/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 1.500.000 LTS/HR ubicado en Corralon Municipal de Florentino Ameghino | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Corralon Municipal de Florentino Ameghino,https://www.google.com/maps/d/embed?mid=1FBoKTak7cJe70e7Aljr7i_29fHI_fjM&ehbc=2E312F&noprof=1
General Alvarado,Zona 5,Gerónimo Rizzo S.A.,,
General Alvear,Zona 4,Marcalba S.A.,,
General Arenales,Zona 3,Olivo Zamboano S.A.,BOMBAS | 1 bombas marca PIVAS 1.500.000 LTS/HR ubicado en Corralon de Ascension | 1 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Deposito Vial de la Delegacion de Ferre,
General Belgrano,Zona 4,Marcalba S.A.,BOMBAS | 2 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Municipalidad de General Belgrano,
